user_ID,finishTime,Q6_1: 
2151,01/03/2024 2:57,שיחרור החטופים צריך להתבצע בשיחרור כל החטופים בהסכם  שיתבצע בן הצדדים . או בלחץ צבאי . 
8352,29/02/2024 12:28,נושא חשוב ביותר לעם כולו מכל נושא אחר !!!!
13583,29/02/2024 13:26,רצוי שאנשים שמבינים בנושא יחליטו
15328,29/02/2024 17:06,להחזיר את כל החטופים עכשיו! מייד!
20635,01/03/2024 14:03,אין פרוט
56946,29/02/2024 14:21,.
90246,29/02/2024 21:04,קבינט מצומצם
95407,29/02/2024 21:40,את החטופים צריך להחזיר הביתה בלי דיונים מיותרים.מדינת ישראל צריכה להראות שהיא זו שקובעת את המתווה.וצריך להחזיר את החטופים בהקדם; ויפה שעה אחת קודם
97075,29/02/2024 14:51,נתניהו טוב
145999,29/02/2024 17:12,THI MURL CPHRUY BUX;
157050,29/02/2024 11:57,החטופים חשובים מאד. אבל חייבים להכות את החמאס ולא לאפשר להם לחזור לפעילות
202683,29/02/2024 11:58,צריך לתת לאנשים שקולים ועניינים להחליט; לא הקיצונים הזויים שמוכנים להקריב אנשים עבור אדמה
244797,29/02/2024 23:44,מצד אחד יש צורך להראות את החוזק המדיני מצד שני לפעול במהירות המירבית; כל שעה בשבי איומה!
248317,01/03/2024 16:43,בהסכמה רחבה ביותר של כל מרכיבי הקואליציה 
266212,29/02/2024 12:10,לא תמיד היו אופציות שהתאימו לי. באופן כללי אני חושבת שצריך לשחרר את כל החטופים בבת אחת; ואם המחיר אומר שחרור כל האסירים או הפסקת הלחימה אז כן
268240,29/02/2024 15:20,העם יאמר את דברו. רוב האנשים יודעים מה נכון לישראל בהנחה שמה שמדווחים לנו מדוייק. 
269139,29/02/2024 12:40,חשוב לדאוג לתושבי המדינה שנחטפו מבתיהם / מסיבת טבע רק על בסיס היותם בישראל.....
269291,01/03/2024 8:25,מוכן לעיסקה לא בכול מחיר
270782,29/02/2024 12:23,דם חיילנו לא הפקר ; את עזה היה צריך למחוק מלמעלה עם כמה שפחות סכנה לחיילנו ; בכל מלחמה יש קורבנות - אין צורך להגדיל אותם בשביל להחזיר חטופים - בנתיים מתו יותר חיילים מכמות החטופים ששם.כואב אבל נכון.
272279,29/02/2024 11:48,שבויים צריכים לחזור 
359779,02/03/2024 14:43,אין מה לפרט
381082,29/02/2024 12:03,חשוב לשמוע את דעתם של אנשי הביטחון מוסד שבכ אבל ההחלטה חייבת להיות בקבינט המצומצם 
381483,01/03/2024 12:38,אמל
381907,29/02/2024 13:31,בכל מקרה תהיה זירת לחימה נוספת אחרי השבויים יחזרו
439963,29/02/2024 14:56,ישראל לא צריכה להיכנע לסחטנות של חמאס. רק זה יציל את החטופים
440048,29/02/2024 13:17,הסיוט הגדול ביותר שלנו התקיים. אני קמה בבוקר והולכת לישון עם מחשבה על החטופים והפצועים והמשפחות השכולות. מי שלא איתנו לא סובל. אני לא מכירה אף אחד מהחטופים ואני חושבת שזה כאב של כולנו. אני לא סומכת על הממשלה ולא על העומד בראשה. צריך שינוי. אני מסורתית ; ימין מרכז ובכל אופן חושבת שהשנה האחרונה עם ממשלת ביבי המיטה עלינו אסונות בזה אחרי זה. אבל הכי חשוב; להחזיר אותם הביתה 
453512,29/02/2024 12:11,נדרש להעריך מסוכנות של כל אסיר משוחרר והפוטנציאל לסיכון חיי אדם נוספים עקב שחרורו. בנוסף לדעתי אין בשום פנים ואופן לשחרר אסירים חיים תמורת גופות חטופים
512701,29/02/2024 12:10,אין לי מה לפרט
520946,29/02/2024 12:17,העם צריך לקבוע את ההחלטות לאחר שכל המוסדות נכשלו
524620,29/02/2024 13:52,הגוף השקול ביותר
548903,29/02/2024 14:04,חושבת ששחרור החטופים בעדיפות עליונה אבל צתטערת לא בכל מחיר לא במחיר של רצי של יהודים נוספים אם נפסיק את הלחימה ונשחרר רוצחים
550636,29/02/2024 12:17,לא בכל מחיר 
550801,02/03/2024 21:02,כל החלטה נכונה ומדוייקת שתתקבל בקבינט הבטחוני
563064,29/02/2024 16:49,לשחרר 
577859,29/02/2024 12:18,jbjklj
591096,29/02/2024 18:50,"אני בעד מתווה לשחרור חטופים; גבול אדום עיקרי הוא הפסקת הלחימה. כל השאר יותר דינאמי יותר; בתנאי שניתן יהיה בטחונית לצמצם את הנזק במהלך הלחימה. מבחינתי התנאים שסימנתי אלה קווים מנחים שסביבם ניתן לשחק; בעדיפות להקטין כמה שאפשר את המפתחות של האסירים והימים (בעיקר חומרת האסיר) ע""י משא ומתן ולחץ צבאי גבוה ככל הניתן; כל עוד לא נחתם הסכם. "
596687,01/03/2024 11:46,ללא פירוט נוסף
609268,29/02/2024 14:39,. 
619359,29/02/2024 19:36,הממשלה לא מתפקדת. נתניהו שבוי בידי הזויים קיצוניים.משאל עם יכריע בסוגיה כה חשובה; מה המחיר שאנו מוכנים לשלם כדי להשיב את החטופים
639725,29/02/2024 15:29,כל העסקה אמורה להיות באופן מיידי אחרת אין טעם וכמובן לא לסכן שוב אזרחים במדינת ישראל
651042,29/02/2024 11:39,סאת לא צריכה להיות החלטה של כל העם
672919,01/03/2024 9:22,שהאנשים המקצועיים יטפלו בנושא ולא הממשלה שמנותקת מהמציאות. כדוגמה המשפט שגולדקנופף אמר: מה קשורה המלחמה לממשלה-אין קשר
674338,01/03/2024 16:22,צריך לעשות את המירב לשיחרור החטופים
676370,01/03/2024 8:35,הם הכי מתאימים
699235,29/02/2024 12:39,עחיעחע
722745,29/02/2024 12:29,לא רוצים עסקת שליט 2; ולא שום כניעה לארגון טרור. ממילא זה טוב לראות את דעת הציבור; כמובן בהתאם גם להחלטות אנשי הבטחון.
752915,29/02/2024 11:46,חשוב לא להיות נחמדים מידי עם החמאס; לא לתת להם בכל מחיר
825165,29/02/2024 11:45,הם מקבלי החלטות ורואים את הכל
826073,29/02/2024 12:50,לא לשחרר חטופים במחיר יקר כל כך של שחרור מחבלים כי אם כן המלחמה הייתה לשווא
826735,29/02/2024 15:48,כל עסקת שבויים שתהיה לא אמורה לסכן אנשים בישראל.שחרור מחבלים מסוכנים -סכנה קיומית ליהודים
831231,29/02/2024 15:04,לא
838441,01/03/2024 8:18,"אני סומך על השב""כ והמוסד שיביאו לתוצאה הטובה ביותר; מכוון שהם מוסדות מהטובים בעולם ולא מוטים פוליטית; למרות הכשלון המודיעיני ב7/10.ראש הממשלה שלנו מושחת ואי אפשר לסמוך עליו.נראה לי שאין טעם בהעמקת המלחמה בעזה; מכוון שזה כבר לא ישנה משמעותית את תוצאת היום שאחרי.כשמורדים ארגון טרור אחד; צומח אחריו ארגון טרור אחר.רק פתרון מדיני שכואב לשני הצדדים יביא לנו רגיעה."
842899,01/03/2024 8:45,פשוט מאד חובה למצוא דרך לשיחרור החטופים שלנו וכמה דיותר מהר אך לא לוותר ולדחרר שבויים של האויב בכמויות ולא עם דם על הידיים
843150,29/02/2024 21:03,בהתאם להמלצות הדרג הבטחוני והשבכ
851571,29/02/2024 20:48,אין פירוט 
852975,29/02/2024 22:40,אין לי מה להוסיף 
869102,29/02/2024 12:00,הכי חשוב לשחרר את החטופים
878377,29/02/2024 13:53,להחזיר את החטופים עכשיובכל מחיר
880061,29/02/2024 18:43,לדעתי צריך שייהיה מתווה לשחרר אסיר תמורת שבויי .או הפסקת מלחמה תמורת שחרור שבויים ורק אחרי שהצבא יסיים את כול היעדים שהציב לעצמו 
899571,29/02/2024 21:14,זה אמור לנבוע מתוך שיקולים ענייניים בלבד
910880,29/02/2024 12:46,להסכם ; ולשלום
911690,29/02/2024 20:45,צריך להחזיר אותם הביתה עכשיו!
916180,29/02/2024 15:00,אין לי מה לפרט
954936,29/02/2024 20:45,אין פירוט
957663,29/02/2024 18:12,אם אפשר לאחר שכולם שוחררו ..לפוצץ אותם בלי רחמים את כל המחבלים
958187,01/03/2024 9:49,תודה
1058314,29/02/2024 18:18,חיי החטופים חשובים מכול!
1062177,29/02/2024 18:50,צריך להתחשב גם בעשרה מיליון שחיים בארץ ולא למהר לשחרר רוצחים שיאיימו על הביטחון האישי. כמובן לדאוג ולנסות להחזיר שבויים
1063811,01/03/2024 8:11,יש להקשיב לשבכ והמוסד אך ייתכן ועדיף גם לעשות משאל עם לאחר שמיעת דעותיהם.
1066207,29/02/2024 13:28,לא צריך להסכים לכל דבר צריך לסיים את הלחימה בעזה ולנצחון של ישראל על כל המחבלים למען יראו ויראו שיפחדו מאיתנו שאנחנו לא אפסים כמו שהיינו במשך  75 שנה מאז קום המדינה 
1066991,02/03/2024 16:39,צריכים לעשות הכל כדי להוציא אותם משם; העיקר שחמאס יפסיק לשחק עם חיי אדם; צריך להפוך את זה לכמה שפחות משחק פוליטי כך שתהיה התנגדות גורמים פוליטיים לעסקה מסיבותם הפוליטיות
1069957,29/02/2024 18:07,צריך להחזיר את השבויים המסכנים בדחיפות
1125350,29/02/2024 15:55,לא יודעת
1130213,01/03/2024 9:26,שיחזירו אותם כבר איזה מחדל נוראי תמורת כל מה שיידרש
1130520,01/03/2024 8:46,שהעם יחליט בנושא זה
1142539,29/02/2024 16:28,?!
1143133,29/02/2024 21:11,לא להכנע לחמאס אבל חשוב מאוד לשחרר את כל החטופים
1144233,29/02/2024 17:43,צריכים לעשות ויתורים כואבים ולהחזיר את השבויים.
1144362,29/02/2024 12:48,אין מה לפרט נושא כואב
1144369,01/03/2024 10:50,אסור לעשות שום עסקה אלא צריך להמשיך רגיל במלחמה עד שחמאס יכנע גם במחיר שכל השבוייםיהרגו
1144920,29/02/2024 15:31,צריך לשחרר כל החתולים בבד אחד דרך פעולה צבאית בלי לשחרר מהבית הכלא מחבלים ובלי לעצור מלחמה
1144939,29/02/2024 20:39,0
1145317,29/02/2024 14:02,יש לתת לבעלי מקצוע להחליט 
1158146,29/02/2024 12:18,אין לקהל הישראלי את הנתונים שיש לראשי ומובילי המדינה; בשביל לדעת מה נכון לעשות.ברור שכולנו רוצים את השבויים בבית ומהר. הכי מהר. אתמול. לפני חודש!אבל אם המחיר הוא חיים של אנשים אחרים שעלולים להגבות - מי מאיתנו יכול לקחת הכרעה בלי כל כל כל הנתונים? שאלה כבדת משקל; נוראית; דילמה של חיים ומוות על כל המשתמע וקטונתי מלהכריע בה. רק יכולה ומתפללת שכולם ישובו הביתה בשלום; בבריאות הגוף והנפש; השבויים; החיילים וכל עם ישראל באשר הוא; ידע רק שלווה ומנוחה. אמן ואמן!
1170333,29/02/2024 17:17,ההחלטה צריכה להיות מאד אחראית ולכן צריך לנהוג בענין זה באחריות גדולה
1181917,29/02/2024 16:49,.
1191441,01/03/2024 8:23,יש לנו עסק עם רוצחים חייבים לשנות את המשוואה למרות הקושי העצום
1200675,29/02/2024 14:50,מאוד חשוב שיוחזרו החטופים . אך לא בכול מחיר  .אין דבר בעולם שאמור לעצור את מבצע זה כולל החיזבאללה.לא יפתרו את הנושא היום  נשלם על זה מחר בריבית דריבית 
1205208,01/03/2024 20:00,"הממשלה מתנהלת כמו מתוך חוסר בידע ומקצועיות. המלחמה נמשכת יותר זמן ממה שהייתה צריכה. בהתחלה כל העולם היה בעדנו ועכשיו איבדנו את כולם-גם את ארה""ב. היינו צריכים להכות בכל הכוח בהתחלה ולסיים את הסאגה הזאת שנקראת רצועת עזה. אין שם חפים מפשע"
1208886,29/02/2024 13:24,על המדינה לדאוג לשחרור החטופים במהרה ובהקדם ולדאוג שכל אסיר שמשוחרר יגיע בסופו של דבר לעזה ובבוא העת לחסל את כולם . חבל שלא ממשים עונש מוות למחבלים ולרוצחים 
1222801,01/03/2024 10:14,חשוב מאוד מאוד מאוד שישראל תגן על עצמה ולא תכנע לתכתיבים של מדינות אחרות.המכה שספגנו היא קשה מנשוא ואסור לתת לכך פתח נוסף חלילה. כל ויתור יגרור הצלחה של החמאס שרק יגבר לו התאבון להמשיך חלילה.חובה עלינו ליישב את חבל עזה על מנת להביא שקט ובטחון לכל אזרחי ישראל. ( גם הערבים שרוצים שלום יהנו מכך מכיוון שתחת שלטון חמאס או הרשות הפלסטינית הם לא מקבלים דבר לקידומם החינוכי והכלכלי והמוסרי.)
1229906,29/02/2024 17:45,צריך לשחרר את החטופים במידי
1272569,29/02/2024 11:44,.
1272832,29/02/2024 15:00,הקבינת המורחב מערב יותר מדי פוליטיקה
1272918,29/02/2024 14:33,כמו שכתבתי הצבעה בקבינט המלחמה
1273445,29/02/2024 16:45,אני לא סומכת על הממשלה הרחבה. החלטות צריכות להתקבל רק בקבינט המצומצם.
1273548,29/02/2024 18:42,באמת שלא מגיעה לימס שום הםסקת לחימה אבל פדמון השבויין והחטופים כל כך חשוב שאין ברירה
1279391,29/02/2024 17:13,את המתווה ישראל צריכה לתת ולא חמס הרי אל ידינו על העליונה אזי אנחנו צריכחל להעמיד תנאים. 
1280085,29/02/2024 16:37,לשאול את האזרחים מה הם רוצים לעשות ואיל לשחרר אותם
1281992,29/02/2024 14:39,בשום אופן לא להפסיק לחימה. הפוגה של יום תמורת חטוף. מקסימום. ארכי רוצחים לא לשחרר 
1284178,29/02/2024 17:52,ככה הכי מתאים לדעתי שכל שר  בממשלה יביע את דעתו
1284302,29/02/2024 15:13,חשוב מאוד להחזיר את החטופיםאבל חשוב לא פחות לשמור על ביטחון המדינה וכלל אזרחיה ולא לעשות דברים שיפגעו בביטחון כולם
1286949,29/02/2024 15:13,מבחינתי לשחרר את כל המחבלים תמורת כל השבויים ביחד (ולא לשמרון!! להגלות אותם למדינות ערב). הפסת לחימה רק לאחר חיסול בכירי חאמס ברצועה ובעולם.מתשובתכם בחרתי את הקרוב ביותר לדעתי.
1290402,29/02/2024 17:50,"אסור שהאסירים המחבלים יחזרו ליו""ש"
1301554,29/02/2024 13:40,לאיזה כיוון שלא ניקח את זה; אם סופיות הפעולה לא תהיה ניצחון מוחץ על החמאס מעשית ונראותית; החיים של כל יהודי בארץ וגם בעולם לא יהיו שווים הרבה יותר מקליפת שום!!!
1301631,29/02/2024 12:19,אין לי מה להוסיף
1302556,29/02/2024 21:40,"אין אימון בפיקוד הצבאי הראשיכנ""ל בראשי מערכות בטחון אחרות; כמו שב""כ ומוסדהם כשלו והם האחראים הישירים לטבח; לכן כל החלטה צריכה לקבל את החלטת הכנסת "
1303168,29/02/2024 14:46,"פדיון שבויים הוא ערך עליוןאך צריך להתחשב שכל פעם שאוייבינו שומעים שאנו מוכנים לתת יותר או לחלופין רבים בנינו הם מעלים את הרף.יש צורך לעשות הכל בחשאיות ולתת כל מחיר שידרש לפי אנשי המקצוע קרי שב""ש וכו"
1452761,29/02/2024 13:27,הכי חשוב להחזיר את החטופים; כמובן שצריך להיות הגיוניים ולא להסכים לכל תנאי. אך נתמודד עם ההשלכות אחרי שכולם יחזרו הביתה
1453744,29/02/2024 17:35,לא יודע
1472024,29/02/2024 20:20,"אני לא יודעת כ""כ"
1501487,01/03/2024 10:45,לשחרר את החטופים מיד;ולשחרר ראש ממשלה השונא את עמו.
1502032,01/03/2024 19:53,הם יודעים הכי טוב בנוגע לזה
1503590,29/02/2024 14:49,אני לא בדרג המדיניאבל זו דעתי 
1504810,29/02/2024 19:10,מה שחשוב זה להחזירם הביתה
1516679,29/02/2024 18:59,אין מה לפרט
1517735,29/02/2024 15:35,אני חושבת שהחזרת החטופים זה בראש סדר העדיפויות אבל אסור להפסיק את הלחימה
1518490,01/03/2024 12:06,לא יודע
1520124,01/03/2024 8:53,המוסד והשב״כ יודעים בדיוק מה הטוב לישראל
1520811,01/03/2024 8:08,.
1522425,29/02/2024 11:36,כשזה לא יסכן את החיילים שלנו 
1524470,29/02/2024 16:53,לדעתי החמס במצב קשה מאד נצור במנהרות  אין מזון חסר אור השמש ולכן אפשר להכניע אותו ולכן חייבים להכנס לרפיח ואז תנאי העסקה יהיו הרבה יותר טובים
1531192,01/03/2024 9:58,דנוקרטיה
